date,year,month,reporter genome 2,reporter genome 3,reporter name,mirror,trade flow,HS Code,HS Description,value,value currency,quantity,quantity unit,quantity type,partner genome 2,partner genome 3,partner name
202303,2023,03,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",24595105.61,USD,1588586,KG,primary,US,USA,United States
202006,2020,06,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",306508.0392,USD,16792,KG,primary,SG,SGP,Singapore
202206,2022,06,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",21032393.41,USD,818434,KG,primary,VN,VNM,Viet-Nam
202303,2023,03,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",171032.1778,USD,17024,KG,primary,ID,IDN,Indonesia
202206,2022,06,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",8205764.356,USD,329712,KG,primary,ID,IDN,Indonesia
202006,2020,06,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",25113040.36,USD,1592981,KG,primary,CN,CHN,China (People's Republic of)
201308,2013,08,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",20117397.18,USD,1745198,KG,primary,US,USA,United States
202303,2023,03,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",789882.1013,USD,35986,KG,primary,CN,CHN,China (People's Republic of)
202006,2020,06,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",8553976.102,USD,637525,KG,primary,JP,JPN,Japan
202206,2022,06,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",405241.207,USD,16738,KG,primary,SG,SGP,Singapore
201308,2013,08,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",701885.4193,USD,72265,KG,primary,ID,IDN,Indonesia
202303,2023,03,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",82749.0663,USD,5402,KG,primary,HK,HKG,Hong Kong
202006,2020,06,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",1983393.541,USD,126949,KG,primary,HK,HKG,Hong Kong
202206,2022,06,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",23316094.19,USD,1019825,KG,primary,CN,CHN,China (People's Republic of)
201308,2013,08,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",1146290.627,USD,123482,KG,primary,CN,CHN,China (People's Republic of)
202304,2023,04,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",83758112.08,USD,6590965,KG,primary,US,USA,United States
202007,2020,07,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",1549604.8,USD,90302,KG,primary,NL,NLD,Netherlands
202206,2022,06,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",13190136.15,USD,705375,KG,primary,JP,JPN,Japan
202304,2023,04,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",509327.3745,USD,52516,KG,primary,ID,IDN,Indonesia
202007,2020,07,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",34293.4743,USD,1715,KG,primary,UA,UKR,Ukraine
202206,2022,06,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",879940.3144,USD,47765,KG,primary,HK,HKG,Hong Kong
202304,2023,04,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",341408.9612,USD,39989,KG,primary,CN,CHN,China (People's Republic of)
201308,2013,08,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",324485.9453,USD,19987,KG,primary,JP,JPN,Japan
202007,2020,07,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",146971728.4,USD,7888592,KG,primary,US,USA,United States
202207,2022,07,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",315782.7316,USD,11975,KG,primary,GB,GBR,United Kingdom
202304,2023,04,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",2576725.064,USD,274808,KG,primary,JP,JPN,Japan
201309,2013,09,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",8164787.401,USD,656688,KG,primary,US,USA,United States
202207,2022,07,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",240606.2679,USD,13350,KG,primary,DK,DNK,Denmark
202007,2020,07,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",3849231.034,USD,238987,KG,primary,VN,VNM,Viet-Nam
202305,2023,05,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",100244578.2,USD,8375138,KG,primary,US,USA,United States
201309,2013,09,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",1038796.229,USD,74903,KG,primary,VN,VNM,Viet-Nam
202207,2022,07,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",232190.5479,USD,8818,KG,primary,ES,ESP,Spain
202007,2020,07,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",267419.7748,USD,16738,KG,primary,ID,IDN,Indonesia
202305,2023,05,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",254940.7847,USD,34006,KG,primary,VN,VNM,Viet-Nam
201309,2013,09,CA,CAN,Canada,FALSE,EXPORT,3061410,"crabs, snow (queen), frozen",1486570.978,USD,146045,KG,primary,CN,CHN,China (People's Republic of)
