Dateyyymm,UBNL58_lb,New_Predicted_Price,New_Lower_CI,New_Upper_CI
6/1/20,7.82,8.390601538,7.513879416,9.369619908
7/1/20,9.22,8.19952801,7.631498222,8.809837548
8/1/20,9.28,8.203986104,7.788849376,8.641249142
9/1/20,9.58,8.490729711,8.04193803,8.964566845
10/1/20,9.77,8.667682797,8.19875258,9.163433623
11/1/20,9.9,8.78770686,8.308798223,9.294219185
12/1/20,9.9,8.802401696,8.345717076,9.284076481
1/1/21,9.9,9.134230363,8.615623577,9.684054042
2/1/21,9.9,8.865941717,8.395804917,9.362404595
3/1/21,9.9,8.574299533,8.131857011,9.040814711
4/1/21,9.9,14.89971936,13.91263786,15.95683285
5/1/21,13.11,15.19252174,13.97818759,16.51234935
6/1/21,14.88,16.37659434,15.02053404,17.85508034
7/1/21,16.24,15.91308378,14.94382728,16.94520624
8/1/21,16.4,15.9461737,15.04628556,16.89988235
9/1/21,16.4,16.29325206,15.34218704,17.30327377
10/1/21,16.56,16.68659945,15.68479448,17.7523908
11/1/21,16.79,16.50590727,15.54609503,17.52497809
12/1/21,16.8,16.17447613,15.21726434,17.19189943
1/1/22,16.8,14.0266034,13.0974288,15.02169671
2/1/22,16.42,14.16606521,13.20772776,15.19393852
3/1/22,15.41,13.77162678,12.8700009,14.73641733
4/1/22,12.07,8.050503202,7.398522687,8.75993824
5/1/22,10.41,7.758799963,7.221103687,8.336534064
6/1/22,8.48,7.748995483,7.155323278,8.391924259
7/1/22,7.53,7.781417046,7.252323957,8.349110107
8/1/22,7.05,8.091499001,7.582935029,8.634170785
9/1/22,7.26,8.030542228,7.592258051,8.494127575
10/1/22,7.84,7.965823173,7.474193923,8.489790268
11/1/22,7.9,8.209478869,7.756387993,8.689037133
12/1/22,7.77,8.139966547,7.667891705,8.641104744
1/1/23,7.27,8.057375225,7.60601692,8.535518156
2/1/23,6.91,8.091509878,7.637010398,8.573057871
3/1/23,6.07,7.914200112,7.438576664,8.420234978
4/1/23,5.17,5.058855147,4.821144006,5.308286864
5/1/23,4.65,5.02384866,4.778537484,5.28175314
6/1/23,4.97,5.190524549,4.963554693,5.427873119
7/1/23,5.29,5.186177262,4.962757509,5.41965521
8/1/23,5.74,5.225750998,5.011441416,5.449225329
9/1/23,5.75,5.466285324,5.235362063,5.707394233
10/1/23,5.75,5.498295577,5.248276641,5.760224987
11/1/23,5.63,5.595138833,5.333236471,5.869902587
12/1/23,5.32,5.480622915,5.26794598,5.701886019
1/1/24,5.4,5.410971158,5.201585041,5.628785964
2/1/24,5.45,5.417423929,5.201530036,5.642278681
3/1/24,5.45,5.400279067,5.179894032,5.630040657
4/1/24,5.64,5.907161629,5.652104951,6.173727985
5/1/24,6.19,5.78556052,5.506460953,6.078806481
6/1/24,6.06,6.324307338,5.912795221,6.764459416
7/1/24,6.05,6.282080422,5.967204592,6.613571535
8/1/24,6.09,6.318002629,6.108401707,6.534795701
9/1/24,6.67,6.427888276,6.218780033,6.644027843
10/1/24,7.46,6.470643492,6.242509215,6.707115
11/1/24,8.21,8.209999996,6.70034845,10.05979024
12/1/24,8.38,8.696464198,7.733776791,9.778985299
1/1/25,8.62,8.700605522,7.737428623,9.783681392
2/1/25,9.11,8.697160191,7.734433521,9.779720154
3/1/25,NA,8.650426528,7.69265334,9.72744719
4/1/25,NA,8.070244943,7.153901596,9.103962719
5/1/25,NA,7.918352384,7.005896928,8.949647008
6/1/25,NA,8.671456902,7.563492157,9.941725758
7/1/25,NA,8.6289363,7.584335923,9.817410835
8/1/25,NA,8.69338092,7.69406682,9.822487065
9/1/25,NA,8.857723916,7.838421889,10.00957515
10/1/25,NA,8.935735912,7.90588939,10.09973355
11/1/25,NA,8.958980676,7.925908728,10.1267044
12/1/25,NA,8.854648754,7.872994228,9.958702151
